id,date,type,city,state,ideology,group,description,image
2288,12/2016,Anti-Semitic Incident:Vandalism,Mineola,NY,,,Swastikas drawn in snow.,
2295,12/2016,Anti-Semitic Incident:Harassment,Shrewsbury,MA,,,Confidential.,
2303,12/2016,Anti-Semitic Incident:Harassment,Solomon,KS,,,"Student called a teacher a ""dirty fucking Jew.""",
2361,12/2016,Anti-Semitic Incident:Vandalism,Stanford,CA,,,"Swastikas and graffiti that read ""no Jews allowed,"" found in seven locations across the Stanford University campus.",
2367,12/2016,Anti-Semitic Incident:Harassment,Poughkeepsie,NY,,,Anti-Semitic flyer that referenced Jewish banking influence distributed.,
2391,12/2016,Anti-Semitic Incident:Harassment,Studio City,CA,,,Anonymous individual texted anti-Semitic messages.,
2392,12/2016,Terrorist Plot/Attack,Suffolk,VA,Islamist,,Lionel Williams declared his allegiance to ISIS and ordered an AK 47 rifle the day after Syed Rizwan Farook and Tashfeen Malik’s 2015 San Bernardino attack. He was arrested after meeting with an undercover FBI source to discuss a plot to kill law enforcement officers in Virginia.,
2395,12/2016,Anti-Semitic Incident:Vandalism,Sun City,AZ,,,Menorah and Holocaust memorial damaged at local synagogue.,
2409,12/2016,Anti-Semitic Incident:Vandalism,Swarthmore,PA,,,Three swastikas found in campus library.,
2422,12/2016,Anti-Semitic Incident:Harassment,Tallahassee,FL,,,High school students formed a swastika with their bodies.,
2423,12/2016,Anti-Semitic Incident:Harassment,Tallahassee,FL,,,Synagogue received hate mail on three separate occasions.,
2540,12/2016,Anti-Semitic Incident:Harassment,Wagon Mound,NM,,,Individual received survey phone call that asked inappropriate questions and made anti-Semitic remarks.,
2546,12/2016,Anti-Semitic Incident:Harassment,Walnut Creek,CA,,,High school student harassed Jewish students.,
2549,12/2016,Anti-Semitic Incident:Vandalism,Waltham,MA,,,Racist and anti-Semitic graffiti found near rocks in public area.,
2578,12/2016,Anti-Semitic Incident:Vandalism,Washington,DC,,,"Anti-Semitic graffiti on mailbox read ""Jews = War.""",
2608,12/2016,Anti-Semitic Incident:Harassment,Burlington,VT,,,Several anti-Semitic flyers found on seats during a city council meeting.,
2620,12/2016,Anti-Semitic Incident:Harassment,West Bloomfield,MI,,,Group of Jewish teenagers called kikes.,
2639,12/2016,Anti-Semitic Incident:Harassment,West Palm Beach,FL,,,Synagogue received bulk anti-Semitic hate mail.,
2643,12/2016,Anti-Semitic Incident:Harassment,Westfall Township,PA,,,Jewish students repeatedly harassed by other students on their school bus.,
2663,12/2016,Anti-Semitic Incident:Harassment,Whitefish,MT,,,Confidential,
2664,12/2016,Anti-Semitic Incident:Harassment,Whitefish,MT,,,Rabbi and other Jewish individuals targeted online by neo-Nazis who support white supremacist Richard Spencer and his mother.,
2665,12/2016,Anti-Semitic Incident:Harassment,Whitefish,MT,,,Confidential,
2666,12/2016,Anti-Semitic Incident:Harassment,Whitefish,MT,,,Confidential,
2667,12/2016,Anti-Semitic Incident:Harassment,Whitefish,MT,,,Confidential,
16,11/2016,Anti-Semitic Incident:Harassment,Albuquerque,NM,,,Jewish organization received anti-Semitic hate mail.,
17,11/2016,Anti-Semitic Incident:Harassment,Albuquerque,NM,,,Individual victim of anti-Semitic harassment.,
18,11/2016,Anti-Semitic Incident:Harassment,Albuquerque,NM,,,Anti-Semitic bullying at school.,
93,11/2016,Anti-Semitic Incident:Harassment,Asbury Park,NJ,,,"Private business received multiple harassing phone calls full of anti-immigrant, racist and anti-Semitic messages.",
