GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Autauga County",,54571,31650,31650,0,22921,0
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,,,"19300","99999","380",,,,,,,,,,,,,,"Baldwin County",,182265,105205,63649,41556,77060,0
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,,,"21640","99999","999",,,,,,,,,,,,,,"Barbour County",,27457,8844,0,8844,18613,0
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Bibb County",,22915,7252,0,7252,15663,0
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Blount County",,57322,5760,386,5374,51562,0
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bullock County",,10914,5307,0,5307,5607,0
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Butler County",,20947,6026,0,6026,14921,0
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,,,"11500","99999","999",,,,,,,,,,,,,,"Calhoun County",,118572,78617,74951,3666,39955,0
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,,,"46740","99999","122",,,,,,,,,,,,,,"Chambers County",,34215,17399,0,17399,16816,0
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cherokee County",,25989,3707,0,3707,22282,0
"G0100210","2010","3","6","Alabama","01","Chilton County","021",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Chilton County",,43643,5785,0,5785,37858,0
"G0100230","2010","3","6","Alabama","01","Choctaw County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Choctaw County",,13859,0,0,0,13859,0
"G0100250","2010","3","6","Alabama","01","Clarke County","025",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clarke County",,25833,6205,0,6205,19628,0
"G0100270","2010","3","6","Alabama","01","Clay County","027",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,13932,0,0,0,13932,0
"G0100290","2010","3","6","Alabama","01","Cleburne County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,14972,0,0,0,14972,0
"G0100310","2010","3","6","Alabama","01","Coffee County","031",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Coffee County",,49948,26375,0,26375,23573,0
"G0100330","2010","3","6","Alabama","01","Colbert County","033",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Colbert County",,54428,30537,30066,471,23891,0
"G0100350","2010","3","6","Alabama","01","Conecuh County","035",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conecuh County",,13228,2520,0,2520,10708,0
"G0100370","2010","3","6","Alabama","01","Coosa County","037",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Coosa County",,11539,0,0,0,11539,0
"G0100390","2010","3","6","Alabama","01","Covington County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Covington County",,37765,11461,0,11461,26304,0
"G0100410","2010","3","6","Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Crenshaw County",,13906,0,0,0,13906,0
"G0100430","2010","3","6","Alabama","01","Cullman County","043",,,,,,,,,,,,,,"18980","99999","142",,,,,,,,,,,,,,"Cullman County",,80406,21517,0,21517,58889,0
"G0100450","2010","3","6","Alabama","01","Dale County","045",,,,,,,,,,,,,,"21460","99999","222",,,,,,,,,,,,,,"Dale County",,50251,24679,2561,22118,25572,0
"G0100470","2010","3","6","Alabama","01","Dallas County","047",,,,,,,,,,,,,,"42820","99999","999",,,,,,,,,,,,,,"Dallas County",,43820,23821,0,23821,19999,0
"G0100490","2010","3","6","Alabama","01","DeKalb County","049",,,,,,,,,,,,,,"22840","99999","999",,,,,,,,,,,,,,"DeKalb County",,71109,7018,0,7018,64091,0
"G0100510","2010","3","6","Alabama","01","Elmore County","051",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Elmore County",,79303,36330,26957,9373,42973,0
"G0100530","2010","3","6","Alabama","01","Escambia County","053",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Escambia County",,38319,13982,0,13982,24337,0
"G0100550","2010","3","6","Alabama","01","Etowah County","055",,,,,,,,,,,,,,"23460","99999","999",,,,,,,,,,,,,,"Etowah County",,104430,65286,64141,1145,39144,0
"G0100570","2010","3","6","Alabama","01","Fayette County","057",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fayette County",,17241,3408,0,3408,13833,0
"G0100590","2010","3","6","Alabama","01","Franklin County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Franklin County",,31704,9395,0,9395,22309,0
"G0100610","2010","3","6","Alabama","01","Geneva County","061",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Geneva County",,26790,2775,121,2654,24015,0
"G0100630","2010","3","6","Alabama","01","Greene County","063",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Greene County",,9045,0,0,0,9045,0
"G0100650","2010","3","6","Alabama","01","Hale County","065",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Hale County",,15760,1707,0,1707,14053,0
"G0100670","2010","3","6","Alabama","01","Henry County","067",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Henry County",,17302,2119,0,2119,15183,0
"G0100690","2010","3","6","Alabama","01","Houston County","069",,,,,,,,,,,,,,"20020","99999","222",,,,,,,,,,,,,,"Houston County",,101547,67220,66099,1121,34327,0
"G0100710","2010","3","6","Alabama","01","Jackson County","071",,,,,,,,,,,,,,"42460","99999","999",,,,,,,,,,,,,,"Jackson County",,53227,12233,0,12233,40994,0
"G0100730","2010","3","6","Alabama","01","Jefferson County","073",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Jefferson County",,658466,593714,592559,1155,64752,0
"G0100750","2010","3","6","Alabama","01","Lamar County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lamar County",,14564,0,0,0,14564,0
"G0100770","2010","3","6","Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,"22520","99999","999",,,,,,,,,,,,,,"Lauderdale County",,92709,47008,47008,0,45701,0
"G0100790","2010","3","6","Alabama","01","Lawrence County","079",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Lawrence County",,34339,2991,72,2919,31348,0
"G0100810","2010","3","6","Alabama","01","Lee County","081",,,,,,,,,,,,,,"12220","99999","194",,,,,,,,,,,,,,"Lee County",,140247,101806,101806,0,38441,0
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Limestone County",,82782,35092,10136,24956,47690,0
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Lowndes County",,11299,0,0,0,11299,0
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,,,"Macon County",,21452,9536,0,9536,11916,0
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Madison County",,334811,279763,276556,3207,55048,0
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marengo County",,21027,6452,0,6452,14575,0
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,30776,3430,0,3430,27346,0
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,,,,"10700","99999","999",,,,,,,,,,,,,,"Marshall County",,93019,43469,0,43469,49550,0
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,,,,"33660","99999","380",,,,,,,,,,,,,,"Mobile County",,412992,330310,326183,4127,82682,0
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Monroe County",,23068,4834,0,4834,18234,0
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Montgomery County",,229363,205300,205300,0,24063,0
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Morgan County",,119490,73370,70364,3006,46120,0
"G0101050","2010","3","6","Alabama","01","Perry County","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Perry County",,10591,0,0,0,10591,0
"G0101070","2010","3","6","Alabama","01","Pickens County","107",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Pickens County",,19746,0,0,0,19746,0
"G0101090","2010","3","6","Alabama","01","Pike County","109",,,,,,,,,,,,,,"45980","99999","999",,,,,,,,,,,,,,"Pike County",,32899,15897,0,15897,17002,0
"G0101110","2010","3","6","Alabama","01","Randolph County","111",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Randolph County",,22913,4275,0,4275,18638,0
"G0101130","2010","3","6","Alabama","01","Russell County","113",,,,,,,,,,,,,,"17980","99999","194",,,,,,,,,,,,,,"Russell County",,52947,34199,34199,0,18748,0
"G0101150","2010","3","6","Alabama","01","St. Clair County","115",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"St. Clair County",,83593,22740,8869,13871,60853,0
"G0101170","2010","3","6","Alabama","01","Shelby County","117",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Shelby County",,195085,150323,147681,2642,44762,0
"G0101190","2010","3","6","Alabama","01","Sumter County","119",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sumter County",,13763,0,0,0,13763,0
"G0101210","2010","3","6","Alabama","01","Talladega County","121",,,,,,,,,,,,,,"45180","99999","999",,,,,,,,,,,,,,"Talladega County",,82291,36360,4876,31484,45931,0
"G0101230","2010","3","6","Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Tallapoosa County",,41616,10726,0,10726,30890,0
"G0101250","2010","3","6","Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Tuscaloosa County",,194656,145003,139114,5889,49653,0
"G0101270","2010","3","6","Alabama","01","Walker County","127",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Walker County",,67023,17367,0,17367,49656,0
"G0101290","2010","3","6","Alabama","01","Washington County","129",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Washington County",,17581,0,0,0,17581,0
"G0101310","2010","3","6","Alabama","01","Wilcox County","131",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wilcox County",,11670,0,0,0,11670,0
"G0101330","2010","3","6","Alabama","01","Winston County","133",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Winston County",,24484,3699,0,3699,20785,0
"G0200130","2010","4","9","Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians East Borough",,3141,0,0,0,3141,0
"G0200160","2010","4","9","Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians West Census Area",,5561,0,0,0,5561,0
"G0200200","2010","4","9","Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Anchorage Municipality",,291826,279811,251243,28568,12015,0
"G0200500","2010","4","9","Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bethel Census Area",,17013,4434,0,4434,12579,0
"G0200600","2010","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bristol Bay Borough",,997,0,0,0,997,0
"G0200680","2010","4","9","Alaska","02","Denali Borough","068",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Denali Borough",,1826,0,0,0,1826,0
"G0200700","2010","4","9","Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Dillingham Census Area",,4847,0,0,0,4847,0
"G0200900","2010","4","9","Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,"21820","99999","999",,,,,,,,,,,,,,"Fairbanks North Star Borough",,97581,67457,64513,2944,30124,0
"G0201000","2010","4","9","Alaska","02","Haines Borough","100",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Haines Borough",,2508,0,0,0,2508,0
"G0201050","2010","4","9","Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hoonah-Angoon Census Area",,2150,0,0,0,2150,0
"G0201100","2010","4","9","Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,"27940","99999","999",,,,,,,,,,,,,,"Juneau City and Borough",,31275,24537,0,24537,6738,0
"G0201220","2010","4","9","Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Kenai Peninsula Borough",,55400,11447,0,11447,43953,0
"G0201300","2010","4","9","Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,"28540","99999","999",,,,,,,,,,,,,,"Ketchikan Gateway Borough",,13477,10352,0,10352,3125,0
"G0201500","2010","4","9","Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,"28980","99999","999",,,,,,,,,,,,,,"Kodiak Island Borough",,13592,9335,0,9335,4257,0
"G0201640","2010","4","9","Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lake and Peninsula Borough",,1631,0,0,0,1631,0
"G0201700","2010","4","9","Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,,,"Matanuska-Susitna Borough",,88995,44236,0,44236,44759,0
"G0201800","2010","4","9","Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Nome Census Area",,9492,3222,0,3222,6270,0
"G0201850","2010","4","9","Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"North Slope Borough",,9430,3835,0,3835,5595,0
"G0201880","2010","4","9","Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Northwest Arctic Borough",,7523,3200,0,3200,4323,0
"G0201950","2010","4","9","Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Petersburg Census Area",,3815,0,0,0,3815,0
"G0201980","2010","4","9","Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area",,5559,0,0,0,5559,0
"G0202200","2010","4","9","Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sitka City and Borough",,8881,7027,0,7027,1854,0
"G0202300","2010","4","9","Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Skagway Municipality",,968,0,0,0,968,0
"G0202400","2010","4","9","Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Southeast Fairbanks Census Area",,7029,0,0,0,7029,0
"G0202610","2010","4","9","Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Valdez-Cordova Census Area",,9636,0,0,0,9636,0
"G0202700","2010","4","9","Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wade Hampton Census Area",,7459,0,0,0,7459,0
"G0202750","2010","4","9","Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wrangell City and Borough",,2369,0,0,0,2369,0
"G0202820","2010","4","9","Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yakutat City and Borough",,662,0,0,0,662,0
"G0202900","2010","4","9","Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Yukon-Koyukuk Census Area",,5588,0,0,0,5588,0
"G0400010","2010","4","8","Arizona","04","Apache County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Apache County",,71518,18551,0,18551,52967,0
"G0400030","2010","4","8","Arizona","04","Cochise County","003",,,,,,,,,,,,,,"43420","99999","999",,,,,,,,,,,,,,"Cochise County",,131346,83666,52745,30921,47680,0
"G0400050","2010","4","8","Arizona","04","Coconino County","005",,,,,,,,,,,,,,"22380","99999","999",,,,,,,,,,,,,,"Coconino County",,134421,92124,71957,20167,42297,0
"G0400070","2010","4","8","Arizona","04","Gila County","007",,,,,,,,,,,,,,"37740","99999","999",,,,,,,,,,,,,,"Gila County",,53597,31589,0,31589,22008,0
"G0400090","2010","4","8","Arizona","04","Graham County","009",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Graham County",,37220,19936,0,19936,17284,0
"G0400110","2010","4","8","Arizona","04","Greenlee County","011",,,,,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,,,"Greenlee County",,8437,4508,0,4508,3929,0
"G0400120","2010","4","8","Arizona","04","La Paz County","012",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"La Paz County",,20489,8948,0,8948,11541,0
"G0400130","2010","4","8","Arizona","04","Maricopa County","013",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Maricopa County",,3817117,3726888,3686117,40771,90229,0
"G0400150","2010","4","8","Arizona","04","Mohave County","015",,,,,,,,,,,,,,"29420","99999","999",,,,,,,,,,,,,,"Mohave County",,200186,154216,53427,100789,45970,0
"G0400170","2010","4","8","Arizona","04","Navajo County","017",,,,,,,,,,,,,,"43320","99999","999",,,,,,,,,,,,,,"Navajo County",,107449,49278,0,49278,58171,0
"G0400190","2010","4","8","Arizona","04","Pima County","019",,,,,,,,,,,,,,"46060","99999","999",,,,,,,,,,,,,,"Pima County",,980263,906513,834443,72070,73750,0
"G0400210","2010","4","8","Arizona","04","Pinal County","021",,,,,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,,,"Pinal County",,375770,293459,200094,93365,82311,0
"G0400230","2010","4","8","Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,"35700","99999","999",,,,,,,,,,,,,,"Santa Cruz County",,47420,34672,0,34672,12748,0
"G0400250","2010","4","8","Arizona","04","Yavapai County","025",,,,,,,,,,,,,,"39140","99999","999",,,,,,,,,,,,,,"Yavapai County",,211033,140976,84744,56232,70057,0
"G0400270","2010","4","8","Arizona","04","Yuma County","027",,,,,,,,,,,,,,"49740","99999","999",,,,,,,,,,,,,,"Yuma County",,195751,175335,134256,41079,20416,0
"G0500010","2010","3","7","Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Arkansas County",,19019,12418,0,12418,6601,0
"G0500030","2010","3","7","Arkansas","05","Ashley County","003",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Ashley County",,21853,10559,0,10559,11294,0
"G0500050","2010","3","7","Arkansas","05","Baxter County","005",,,,,,,,,,,,,,"34260","99999","999",,,,,,,,,,,,,,"Baxter County",,41513,14180,0,14180,27333,0
"G0500070","2010","3","7","Arkansas","05","Benton County","007",,,,,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,,,"Benton County",,221339,165650,147000,18650,55689,0
"G0500090","2010","3","7","Arkansas","05","Boone County","009",,,,,,,,,,,,,,"25460","99999","999",,,,,,,,,,,,,,"Boone County",,36903,13950,0,13950,22953,0
"G0500110","2010","3","7","Arkansas","05","Bradley County","011",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Bradley County",,11508,5801,0,5801,5707,0
"G0500130","2010","3","7","Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,"15780","99999","999",,,,,,,,,,,,,,"Calhoun County",,5368,0,0,0,5368,0
"G0500150","2010","3","7","Arkansas","05","Carroll County","015",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Carroll County",,27446,7456,0,7456,19990,0
"G0500170","2010","3","7","Arkansas","05","Chicot County","017",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Chicot County",,11800,5395,0,5395,6405,0
"G0500190","2010","3","7","Arkansas","05","Clark County","019",,,,,,,,,,,,,,"11660","99999","999",,,,,,,,,,,,,,"Clark County",,22995,10491,0,10491,12504,0
"G0500210","2010","3","7","Arkansas","05","Clay County","021",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Clay County",,16083,6617,0,6617,9466,0
"G0500230","2010","3","7","Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cleburne County",,25970,6357,0,6357,19613,0
"G0500250","2010","3","7","Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,,,"Cleveland County",,8689,0,0,0,8689,0
"G0500270","2010","3","7","Arkansas","05","Columbia County","027",,,,,,,,,,,,,,"31620","99999","999",,,,,,,,,,,,,,"Columbia County",,24552,10438,0,10438,14114,0
"G0500290","2010","3","7","Arkansas","05","Conway County","029",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Conway County",,21273,6272,0,6272,15001,0
"G0500310","2010","3","7","Arkansas","05","Craighead County","031",,,,,,,,,,,,,,"27860","99999","308",,,,,,,,,,,,,,"Craighead County",,96443,65419,65419,0,31024,0
"G0500330","2010","3","7","Arkansas","05","Crawford County","033",,,,,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,,,"Crawford County",,61948,29759,29759,0,32189,0
"G0500350","2010","3","7","Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,"32820","99999","999",,,,,,,,,,,,,,"Crittenden County",,50902,40270,40270,0,10632,0
"G0500370","2010","3","7","Arkansas","05","Cross County","037",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Cross County",,17870,7722,0,7722,10148,0
"G0500390","2010","3","7","Arkansas","05","Dallas County","039",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Dallas County",,8116,3844,0,3844,4272,0
"G0500410","2010","3","7","Arkansas","05","Desha County","041",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Desha County",,13008,8921,0,8921,4087,0
"G0500430","2010","3","7","Arkansas","05","Drew County","043",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Drew County",,18509,9512,0,9512,8997,0
"G0500450","2010","3","7","Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,,,"Faulkner County",,113237,69346,65277,4069,43891,0
"G0500470","2010","3","7","Arkansas","05","Franklin County","047",,,,,,,,,,,,,,"22900","99999","999",,,,,,,,,,,,,,"Franklin County",,18125,3153,0,3153,14972,0
"G0500490","2010","3","7","Arkansas","05","Fulton County","049",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Fulton County",,12245,867,0,867,11378,0
"G0500510","2010","3","7","Arkansas","05","Garland County","051",,,,,,,,,,,,,,"26300","99999","999",,,,,,,,,,,,,,"Garland County",,96024,60588,55103,5485,35436,0
"G0500530","2010","3","7","Arkansas","05","Grant County","053",,,,,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,,,"Grant County",,17853,4458,0,4458,13395,0
"G0500550","2010","3","7","Arkansas","05","Greene County","055",,,,,,,,,,,,,,"37500","99999","308",,,,,,,,,,,,,,"Greene County",,42090,24620,0,24620,17470,0
"G0500570","2010","3","7","Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,"26260","99999","999",,,,,,,,,,,,,,"Hempstead County",,22609,10000,0,10000,12609,0
"G0500590","2010","3","7","Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Hot Spring County",,32923,11204,18,11186,21719,0
"G0500610","2010","3","7","Arkansas","05","Howard County","061",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Howard County",,13789,4479,0,4479,9310,0
"G0500630","2010","3","7","Arkansas","05","Independence County","063",,,,,,,,,,,,,,"12900","99999","999",,,,,,,,,,,,,,"Independence County",,36647,11513,0,11513,25134,0
"G0500650","2010","3","7","Arkansas","05","Izard County","065",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Izard County",,13696,0,0,0,13696,0
"G0500670","2010","3","7","Arkansas","05","Jackson County","067",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Jackson County",,17997,6288,0,6288,11709,0
"G0500690","2010","3","7","Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,,,"Jefferson County",,77435,53495,53495,0,23940,0
"G0500710","2010","3","7","Arkansas","05","Johnson County","071",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Johnson County",,25540,7313,0,7313,18227,0
"G0500730","2010","3","7","Arkansas","05","Lafayette County","073",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lafayette County",,7645,0,0,0,7645,0
"G0500750","2010","3","7","Arkansas","05","Lawrence County","075",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lawrence County",,17415,6346,0,6346,11069,0
"G0500770","2010","3","7","Arkansas","05","Lee County","077",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Lee County",,10424,3804,0,3804,6620,0
"G0500790","2010","3","7","Arkansas","05","Lincoln County","079",,,,,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,,,"Lincoln County",,14134,0,0,0,14134,0
"G0500810","2010","3","7","Arkansas","05","Little River County","081",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Little River County",,13171,4146,0,4146,9025,0
"G0500830","2010","3","7","Arkansas","05","Logan County","083",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Logan County",,22353,6478,0,6478,15875,0
"G0500850","2010","3","7","Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,"30780","99999","340",,,,,,,,,,,,,,"Lonoke County",,68356,37724,30904,6820,30632,0
