date,placename,state,state_fips,countyname,countyfips,venue,attendance
22feb2016,Las Vegas,Nevada,32,Clark,3,"South Point Hotel, Casino & Spa",
23feb2016,Sparks,Nevada,32,Washoe,31,Rose Ballroom,3000
26feb2016,Oklahoma City,Oklahoma,40,Oklahoma,109,Cox Convention Center,7000
27feb2016,Highfill,Arkansas,5,Benton,7,Northwest Arkansas Regional Airport,5000
27feb2016,Millington,Tennessee,47,Shelby,157,Millington Regional Jetport,10000
27feb2016,Fort Worth,Texas,48,Tarrant,439,Fort Worth Convention Center,8000
28feb2016,Madison,Alabama,1,Madison,89,Madison City Schools Stadium,
29feb2016,Radford,Virginia,51,Radford city,750,"Dedmon Center, Radford University",3800
29feb2016,Valdosta,Georgia,13,Lowndes,185,"The Complex, Valdosta State University",7500
01mar2016,Columbus,Ohio,39,Franklin,49,Port Columbus International Airport,4000
01mar2016,Louisville,Kentucky,21,Jefferson,111,Kentucky International Convention Center,5000
03mar2016,Portland,Maine,23,Cumberland,5,The Westin Portland Harborview Hotel,1100
04mar2016,New Orleans,Louisiana,22,Orleans Parish,71,Lakefront Airport,4000
04mar2016,Warren,Michigan,26,Macomb,99,"Sports & Expo Center, Macomb Community College",4000
04mar2016,Cadillac,Michigan,26,Wexford,165,Wexford County Civic Center,3500
05mar2016,Wichita,Kansas,20,Sedgwick,173,Century II Performing Arts & Convention Center,
05mar2016,Orlando,Florida,12,Orange,95,"CFE Arena, University of Central Florida",10000
07mar2016,Madison,Mississippi,28,Madison,89,Madison Central High School,9000
07mar2016,Concord,North Carolina,37,Cabarrus,25,Cabarrus Arena & Events Center,3000
09mar2016,Fayetteville,North Carolina,37,Cumberland,51,Crown Coliseum,11000
11mar2016,St. Louis,Missouri,29,St. Louis city,510,Peabody Opera House,3100
12mar2016,Dayton,Ohio,39,Montgomery,113,Dayton International Airport,20000
12mar2016,Cleveland,Ohio,39,Cuyahoga,35,I-X Center,29000
12mar2016,Kansas City,Missouri,29,Jackson,95,Midland Theatre,7000
13mar2016,Bloomington,Illinois,17,McLean,113,"Synergy Flight Center, Central Illinois Regional Airport",3000
13mar2016,Boca Raton,Florida,12,Palm Beach,99,"Sunset Cove Amphitheater, Sugar Sand Park",6000
14mar2016,Vienna Center,Ohio,39,Trumbull,155,"Winner Aviation, Youngstown–Warren Regional Airport",2500
14mar2016,Tampa,Florida,12,Hillsborough,57,Tampa Convention Center,1500
18mar2016,Salt Lake City,Utah,49,Salt Lake,35,Infinity Event Center,1200
19mar2016,Tucson,Arizona,4,Pima,19,Tucson Convention Center,5000
19mar2016,Fountain Hills,Arizona,4,Maricopa,13,Fountain Park,10000
29mar2016,Janesville,Wisconsin,55,Rock,105,Janesville Conference Center,1000
30mar2016,Appleton,Wisconsin,55,Outagamie,87,Radisson Paper Valley Hotel,1000
30mar2016,De Pere,Wisconsin,55,Brown,9,"Byron L. Walter Theatre, St. Norbert College",750
02apr2016,Eau Claire,Wisconsin,55,Eau Claire,35,Memorial High School,1500
02apr2016,Racine,Wisconsin,55,Racine,101,Memorial Hall,1200
02apr2016,Rothschild,Wisconsin,55,Marathon,73,Central Wisconsin Convention & Expo Center,1700
03apr2016,West Allis,Wisconsin,55,Milwaukee,79,Nathan Hale High School,1000
04apr2016,Milwaukee,Wisconsin,55,Milwaukee,79,Milwaukee Theatre,
04apr2016,La Crosse,Wisconsin,55,La Crosse,63,La Crosse Center,1700
04apr2016,Superior,Wisconsin,55,Douglas,31,Richard I. Bong Airport,1000
06apr2016,Bethpage,New York,36,Nassau,59,Grumman Studios,10000
10apr2016,Rochester,New York,36,Monroe,55,"JetSmart Aviation Services, Greater Rochester International Airport",9000
11apr2016,Albany,New York,36,Albany,1,Times Union Center,10000
12apr2016,Rome,New York,36,Oneida,65,Griffiss International Airport,5000
13apr2016,Pittsburgh,Pennsylvania,42,Allegheny,3,David L. Lawrence Convention Center,4500
15apr2016,Plattsburgh,New York,36,Clinton,19,Crete Civic Center,3000
15apr2016,Hartford,Connecticut,9,Hartford,3,Connecticut Convention Center,7000
16apr2016,Watertown,New York,36,Jefferson,45,Watertown International Airport,2000
16apr2016,Syracuse,New York,36,Onondaga,67,"Nicholas J. Pirro Convention Center, Oncenter",5000
17apr2016,Poughkeepsie,New York,36,Dutchess,27,Mid-Hudson Civic Center,
18apr2016,Buffalo,New York,36,Erie,29,First Niagara Center,11400
20apr2016,Berlin,Maryland,24,Worcester,47,Stephen Decatur High School,3000
20apr2016,Indianapolis,Indiana,18,Marion,97,"Elements Financial Blue Ribbon Pavilion, Indiana State Fairgrounds",4000
21apr2016,Harrisburg,Pennsylvania,42,Dauphin,43,Pennsylvania Farm Show Complex & Expo Center,6000
22apr2016,Harrington,Delaware,10,Kent,1,"Quillen Arena, Delaware State Fairgrounds",8200
23apr2016,Waterbury,Connecticut,9,New Haven,9,Crosby High School,3000
23apr2016,Bridgeport,Connecticut,9,Fairfield,1,Klein Memorial Auditorium,1400
24apr2016,Hagerstown,Maryland,24,Washington,43,"Rider Jet Center, Hagerstown Regional Airport",5000
25apr2016,Warwick,Rhode Island,44,Kent,3,Crowne Plaza Hotel Providence-Warwick,1000
25apr2016,Wilkes-Barre,Pennsylvania,42,Luzerne,79,Mohegan Sun Arena at Casey Plaza,10000
25apr2016,West Chester,Pennsylvania,42,Chester,29,West Chester University,3500
27apr2016,Indianapolis,Indiana,18,Marion,97,Indiana Farmers Coliseum,5000
28apr2016,Evansville,Indiana,18,Vanderburgh,163,Old National Events Plaza,12000
28apr2016,Costa Mesa,California,6,Orange,59,"Pacific Amphitheatre, OC Fair & Event Center",
01may2016,Terre Haute,Indiana,18,Vigo,167,Indiana Theatre,2100
01may2016,Fort Wayne,Indiana,18,Allen,3,Allen County War Memorial Coliseum,8000
