date,placename,state,state_fips,countyname,countyfips,venue,attendance
20sep2016,Kenansville,North Carolina,37,Duplin,61,Duplin County Events Center,6000
20sep2016,High Point,North Carolina,37,Guilford,81,"Millis Athletic Convocation Center, High Point University",2000
21sep2016,Toledo,Ohio,39,Lucas,95,Stranahan Theater,
22sep2016,Chester,Pennsylvania,42,Delaware,45,Sun Center Studios,3000
24sep2016,Roanoke,Virginia,51,Roanoke city,770,Berglund Center,9000
27sep2016,Melbourne,Florida,12,Brevard,9,Orlando Melbourne International Airport,
28sep2016,Waukesha,Wisconsin,55,Waukesha,133,Waukesha County Expo Center,1500
28sep2016,Council Bluffs,Iowa,19,Pottawattamie,155,Mid-America Center,1200
29sep2016,Bedford,New Hampshire,33,Hillsborough,11,NH Sportsplex,900
30sep2016,Novi,Michigan,26,Oakland,125,Suburban Collection Showplace,6000
01oct2016,Manheim,Pennsylvania,42,Lancaster,71,Spooky Nook Sports,6000
03oct2016,Loveland,Colorado,8,Larimer,69,Budweiser Events Center,8000
03oct2016,Pueblo,Colorado,8,Pueblo,101,Pueblo Convention Center,2000
04oct2016,Prescott Valley,Arizona,4,Yavapai,25,Prescott Valley Event Center,7000
05oct2016,Reno,Nevada,32,Washoe,31,Reno-Sparks Convention Center,
05oct2016,Henderson,Nevada,32,Clark,3,Henderson Pavilion,7000
10oct2016,Ambridge,Pennsylvania,42,Beaver,7,Ambridge Area High School,3000
10oct2016,Wilkes-Barre,Pennsylvania,42,Luzerne,79,Mohegan Sun Arena at Casey Plaza,9000
11oct2016,Panama City Beach,Florida,12,Bay,5,"Aaron Bessant Amphitheater, Aaron Bessant Park",8500
12oct2016,Lakeland,Florida,12,Polk,105,Lakeland Linder International Airport,7000
12oct2016,Ocala,Florida,12,Marion,83,Southeastern Livestock Pavilion,12000
13oct2016,West Palm Beach,Florida,12,Palm Beach,99,South Florida Fairgrounds Expo Center,6000
13oct2016,Cincinnati,Ohio,39,Hamilton,61,U.S. Bank Arena,
14oct2016,Charlotte,North Carolina,37,Mecklenburg,119,Charlotte Convention Center,5000
14oct2016,Greensboro,North Carolina,37,Guilford,81,White Oak Amphitheatre,4000
15oct2016,Bangor,Maine,23,Penobscot,19,Cross Insurance Center,4000
15oct2016,Portsmouth,New Hampshire,33,Rockingham,15,Toyota of Portsmouth,7000
17oct2016,Green Bay,Wisconsin,55,Brown,9,KI Convention Center,3000
18oct2016,Colorado Springs,Colorado,8,El Paso,41,Norris-Penrose Event Center,
18oct2016,Grand Junction,Colorado,8,Mesa,77,"West Star Aviation, Grand Junction Regional Airport",
20oct2016,Delaware,Ohio,39,Delaware,41,Delaware County Fair,1500
21oct2016,Fletcher,North Carolina,37,Henderson,89,WNC Agricultural Center,3100
21oct2016,Newtown Township,Pennsylvania,42,Bucks,17,Newtown Athletic Club Sports Training Center,4000
21oct2016,Johnstown,Pennsylvania,42,Cambria,21,Cambria County War Memorial Arena,4000
22oct2016,Cleveland,Ohio,39,Cuyahoga,35,I-X Center,
22oct2016,Virginia Beach,Virginia,51,Virginia Beach city,810,"Library Plaza, Regent University",10000
23oct2016,Naples,Florida,12,Collier,21,Collier County Fairgrounds,12000
24oct2016,St. Augustine,Florida,12,St. Johns,109,St. Augustine Amphitheatre,
24oct2016,Tampa,Florida,12,Hillsborough,57,MidFlorida Credit Union Amphitheatre,21500
25oct2016,Tallahassee,Florida,12,Leon,73,Tallahassee Car Museum,
25oct2016,Sanford,Florida,12,Seminole,117,"Million Air Orlando, Orlando Sanford International Airport",10000
26oct2016,Kinston,North Carolina,37,Lenoir,107,"Kinston Jet Center, Kinston Regional Jetport",3100
27oct2016,Toledo,Ohio,39,Lucas,95,SeaGate Convention Centre,2900
27oct2016,Springfield,Ohio,39,Clark,23,Clark County Fairgrounds,5000
27oct2016,Geneva,Ohio,39,Ashtabula,7,"Track and Field Building, SPIRE Institute",5000
28oct2016,Lisbon Falls,Maine,23,Androscoggin,1,Open Door Christian Academy,1200
28oct2016,Cedar Rapids,Iowa,19,Linn,113,McGrath Amphitheatre,5000
28oct2016,Manchester,New Hampshire,33,Hillsborough,11,Radisson Hotel Manchester Downtown,
29oct2016,Phoenix,Arizona,4,Maricopa,13,Phoenix Convention Center,8000
29oct2016,Golden,Colorado,8,Jefferson,59,Jefferson County Events Center,
30oct2016,Albuquerque,New Mexico,35,Bernalillo,1,"Atlantic Aviation ABQ, Albuquerque International Sunport",4000
30oct2016,Greeley,Colorado,8,Weld,123,"Bank of Colorado Arena, University of Northern Colorado",3000
30oct2016,Las Vegas,Nevada,32,Clark,3,The Venetian Las Vegas,8400
31oct2016,Grand Rapids,Michigan,26,Kent,81,DeltaPlex Arena,6500
31oct2016,Warren,Michigan,26,Macomb,99,"Sports & Expo Center, Macomb Community College South Campus",5000
01nov2016,Eau Claire,Wisconsin,55,Eau Claire,35,W.L. Zorn Arena,3000
02nov2016,Miami,Florida,12,Miami-Dade,86,Bayfront Park,2600
02nov2016,Orlando,Florida,12,Orange,95,"CFE Arena, Central Florida Fairgrounds",10000
02nov2016,Pensacola,Florida,12,Escambia,33,Maritime Park's Hunter Amphitheater,8000
03nov2016,Jacksonville,Florida,12,Duval,31,Jacksonville Equestrian Center,4000
03nov2016,Concord,North Carolina,37,Cabarrus,25,Cabarrus Arena & Events Center,4200
03nov2016,Selma,North Carolina,37,Johnston,101,The Farm,15000
04nov2016,Wilmington,Ohio,39,Clinton,27,"Airborne Maintenance & Engineering Services, Inc",3000
04nov2016,Hershey,Pennsylvania,42,Dauphin,43,Giant Center,13000
04nov2016,Atkinson,New Hampshire,33,Rockingham,15,Atkinson Country Club,1000
05nov2016,Denver,Colorado,8,Denver,31,National Western Complex,8000
05nov2016,Reno,Nevada,32,Washoe,31,Reno-Sparks Convention Center,8000
05nov2016,Tampa,Florida,12,Hillsborough,57,Florida State Fairgrounds,12500
05nov2016,Wilmington,North Carolina,37,New Hanover,129,Wilmington International Airport,5000
06nov2016,Sioux City,Iowa,19,Woodbury,193,Sioux City Convention Center,4500
06nov2016,Leesburg,Virginia,51,Loudoun,107,"Agricultural hall, Loudoun Fairgrounds",14500
06nov2016,Moon Township,Pennsylvania,42,Allegheny,3,Atlantic Aviation,12000
06nov2016,Minneapolis,Minnesota,27,Hennepin,53,Sun Country Airlines,14500
06nov2016,Sterling Heights,Michigan,26,Macomb,99,"Freedom Hill Amphitheater, Freedom Hill County Park",8000
07nov2016,Sarasota,Florida,12,Sarasota,115,"Robarts Arena, Sarasota County Fairgrounds",5000
07nov2016,Grand Rapids,Michigan,26,Kent,81,DeVos Place Convention Center,4200
07nov2016,Scranton,Pennsylvania,42,Lackawanna,69,Lackawanna College Student Union,5000
07nov2016,Manchester,New Hampshire,33,Hillsborough,11,SNHU Arena,12000
07nov2016,Raleigh,North Carolina,37,Wake,183,Dorton Arena,7000
01dec2016,Cincinnati,Ohio,39,Hamilton,61,U.S. Bank Arena,
06dec2016,Fayetteville,North Carolina,37,Cumberland,51,Crown Coliseum,
08dec2016,Des Moines,Iowa,19,Polk,153,Iowa Events Center,
09dec2016,Grand Rapids,Michigan,26,Kent,81,DeltaPlex Arena,
